IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
59.166.0.2,43863,149.171.126.5,53,17,0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146,178,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,3826,1,60,0,0,Benign
59.166.0.2,7694,149.171.126.5,80,6,7,19306,362,1087890,746,27,27,27,0,0,0,31,32,1500,52,52,1500,19306,1087890,289,1,543733,369,154448000,113185408,368,0,20,0,720,65160,7240,8448,33,0,0,0,0,0,Benign
59.166.0.6,38522,149.171.126.5,53,17,0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146,178,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,13279,1,60,0,0,Benign
59.166.0.6,34868,149.171.126.8,80,6,7,1684,14,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1684,10168,578,2,4820,4,13472000,81344000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0,0,Benign
59.166.0.3,10359,149.171.126.5,111,17,0,568,4,304,4,0,0,0,0,0,0,31,32,142,76,76,142,568,304,0,0,0,0,4544000,2432000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Benign
59.166.0.3,41819,149.171.126.5,5936,17,0,544,4,304,4,0,0,0,0,0,0,31,32,156,52,52,156,544,304,0,0,0,0,4352000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0,0,Benign
59.166.0.3,13371,149.171.126.5,11922,6,0,3936,18,2456,18,27,27,27,0,0,0,31,32,860,52,52,860,3936,2456,1808,6,1068,6,31488000,19648000,14,18,2,2,0,14480,14480,4096,16,0,0,0,0,0,Benign
175.45.176.1,2176,149.171.126.13,25,6,0,104328,94,2268,30,27,27,19,0,0,0,62,63,1500,40,40,1500,104328,2268,51988,43,806,7,834624000,18144000,48,4,4,0,68,16383,16383,5120,20,0,0,0,0,1,Exploits
59.166.0.1,11406,149.171.126.9,13203,6,0,2230,34,13500,36,27,27,27,0,0,0,31,32,1352,52,52,1352,2230,13500,539,6,6330,10,17840000,108000000,60,0,2,0,8,20272,14480,6912,27,0,0,0,0,0,Benign
59.166.0.1,40680,149.171.126.4,11001,6,0,4862,84,75600,86,27,27,27,0,0,0,31,32,1352,52,52,1352,4862,75600,555,6,37380,35,38896000,604800000,114,2,0,0,54,56472,14480,11008,43,0,0,0,0,0,Benign
59.166.0.9,12597,149.171.126.2,53,17,0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146,178,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,38032,1,60,0,0,Benign
59.166.0.9,14173,149.171.126.4,80,6,7,1684,14,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1684,10168,578,2,4820,4,13472000,81344000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0,0,Benign
59.166.0.7,14909,149.171.126.1,5190,6,0,2166,26,2308,24,27,27,27,0,0,0,31,32,485,52,52,485,2166,2308,663,5,786,5,17328000,18464000,46,0,4,0,0,13032,13032,38656,151,0,0,0,0,0,Benign
59.166.0.4,36078,149.171.126.9,111,17,0,568,4,304,4,0,0,0,0,0,0,31,32,142,76,76,142,568,304,0,0,0,0,4544000,2432000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Benign
59.166.0.4,64176,149.171.126.9,40501,17,0,544,4,304,4,0,0,0,0,0,0,31,32,156,52,52,156,544,304,0,0,0,0,4352000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0,0,Benign
59.166.0.4,19191,149.171.126.9,64000,6,0,3936,18,2456,18,27,27,27,0,0,0,31,32,860,52,52,860,3936,2456,1808,6,1068,6,31488000,19648000,14,18,2,2,0,14480,14480,4096,16,0,0,0,0,0,Benign
59.166.0.1,18898,149.171.126.8,22,6,92,3728,32,5474,24,27,27,27,0,0,0,31,32,900,52,52,900,3728,5474,1340,6,2421,6,29824000,43792000,42,4,4,6,0,14480,14480,15360,60,0,0,0,0,0,Benign
59.166.0.1,19636,149.171.126.3,5190,6,0,2062,24,2308,24,27,27,27,0,0,0,31,32,485,52,52,485,2062,2308,663,5,786,5,16496000,18464000,44,0,4,0,0,13032,13032,38656,151,0,0,0,0,0,Benign
59.166.0.1,60372,149.171.126.4,53,17,0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146,178,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,20081,1,60,0,0,Benign
59.166.0.1,62048,149.171.126.3,25,6,3,37914,54,3484,44,27,27,27,0,0,0,31,32,1500,52,52,1500,37914,3484,18485,18,958,7,303312000,27872000,70,2,2,0,24,15928,31856,13568,53,0,0,0,0,0,Benign
59.166.0.6,23254,149.171.126.0,19022,6,0,2230,34,13396,34,27,27,27,0,0,0,31,32,1352,52,52,1352,2230,13396,539,6,6330,10,17840000,107168000,58,0,2,0,8,20272,14480,6912,27,0,0,0,0,0,Benign
59.166.0.6,61178,149.171.126.9,58703,6,0,4862,84,75600,86,27,27,27,0,0,0,31,32,1352,52,52,1352,4862,75600,555,6,37380,35,38896000,604800000,114,2,0,0,54,56472,14480,11008,43,0,0,0,0,0,Benign
175.45.176.2,50487,149.171.126.13,23,6,77,1590,24,2322,22,19,19,19,0,0,0,254,255,651,40,40,651,1590,2322,619,8,1033,8,12720000,18576000,40,4,0,2,0,16383,16383,27392,107,0,0,0,0,1,Exploits
59.166.0.1,50639,149.171.126.6,53,17,0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146,178,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,24682,1,60,0,0,Benign
59.166.0.1,1156,149.171.126.5,80,6,7,1684,14,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1684,10168,578,2,4820,4,13472000,81344000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0,0,Benign
59.166.0.0,27842,149.171.126.4,111,17,0,568,4,304,4,0,0,0,0,0,0,31,32,142,76,76,142,568,304,0,0,0,0,4544000,2432000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Benign
59.166.0.0,29353,149.171.126.4,61000,17,0,544,4,304,4,0,0,0,0,0,0,31,32,156,52,52,156,544,304,0,0,0,0,4352000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0,0,Benign
59.166.0.0,51978,149.171.126.4,56818,6,0,4456,28,3080,30,27,27,27,0,0,0,31,32,860,52,52,860,4456,3080,1808,6,1068,6,35648000,24640000,36,18,2,2,0,14480,14480,4096,16,0,0,0,0,0,Benign
59.166.0.0,57235,149.171.126.2,51815,6,0,3806,64,54798,66,27,27,27,0,0,0,31,32,1352,52,52,1352,3806,54798,547,6,26979,25,30448000,438384000,90,0,0,0,40,41992,14480,8960,35,0,0,0,0,0,Benign
59.166.0.0,31339,149.171.126.3,56852,6,0,3614,60,45696,62,27,27,27,0,0,0,31,32,1352,52,52,1352,3614,45696,555,6,22428,23,28912000,365568000,86,0,0,6,30,39096,14480,11008,43,0,0,0,0,0,Benign
59.166.0.1,31234,149.171.126.1,31120,6,0,2230,34,13500,36,27,27,27,0,0,0,31,32,1352,52,52,1352,2230,13500,539,6,6330,10,17840000,108000000,60,0,2,0,8,20272,14480,6912,27,0,0,0,0,0,Benign
59.166.0.8,52280,149.171.126.8,32618,6,0,3806,64,54798,66,27,27,27,0,0,0,31,32,1352,52,52,1352,3806,54798,547,6,26979,25,30448000,438384000,90,0,0,0,40,41992,14480,8960,35,0,0,0,0,0,Benign
59.166.0.1,52292,149.171.126.5,50247,6,0,4862,84,75600,86,27,27,27,0,0,0,31,32,1352,52,52,1352,4862,75600,555,6,37380,35,38896000,604800000,114,2,0,0,54,56472,14480,11008,43,0,0,0,0,0,Benign
59.166.0.1,47459,149.171.126.5,53,17,0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146,178,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,7366,1,60,0,0,Benign
59.166.0.1,46989,149.171.126.2,80,6,7,1580,12,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1580,10168,578,2,4820,4,12640000,81344000,18,0,6,0,6,11584,8688,16896,66,0,0,0,0,0,Benign
59.166.0.5,48730,149.171.126.4,53,17,0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,65,81,130,162,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,7167,1,60,0,0,Benign
59.166.0.8,47686,149.171.126.4,32331,6,0,3614,60,45696,62,27,27,27,0,0,0,31,32,1352,52,52,1352,3614,45696,555,6,22428,23,28912000,365568000,86,0,0,6,30,39096,14480,11008,43,0,0,0,0,0,Benign
59.166.0.5,6517,149.171.126.1,21,6,1,2487,45,3500,50,25,25,25,0,0,0,31,32,106,52,52,106,2934,3742,563,9,1126,13,13736000,16336000,106,0,0,0,0,26064,20272,13056,51,0,0,0,0,0,Benign
59.166.0.5,7529,149.171.126.1,19732,6,0,320,6,1932,8,27,19,27,0,0,0,31,32,806,52,52,806,320,1932,0,0,806,1,2560000,15456000,12,0,0,2,0,7240,5792,0,0,0,0,0,0,0,Benign
59.166.0.0,5383,149.171.126.2,47428,6,0,2230,34,13500,36,27,27,27,0,0,0,31,32,1352,52,52,1352,2230,13500,539,6,6330,10,17840000,108000000,60,0,2,0,8,20272,14480,6912,27,0,0,0,0,0,Benign
59.166.0.0,7093,149.171.126.1,4978,6,0,4862,84,75600,86,27,27,27,0,0,0,31,32,1352,52,52,1352,4862,75600,555,6,37380,35,38896000,604800000,114,2,0,0,54,56472,14480,11008,43,0,0,0,0,0,Benign
59.166.0.7,45125,149.171.126.5,5190,6,0,1920,22,4312,24,27,27,27,0,0,0,31,32,1097,52,52,1097,1920,4312,644,5,1788,5,15360000,34496000,40,0,4,0,2,13032,13032,33792,132,0,0,0,0,0,Benign
175.45.176.0,47488,149.171.126.11,445,6,41,728,10,336,8,19,19,19,0,0,0,254,255,188,40,40,188,728,336,188,1,0,0,5824000,2688000,16,2,0,0,0,16383,16383,48128,188,0,0,0,0,1,DoS
175.45.176.0,47488,149.171.126.11,445,6,41,728,10,336,8,19,19,19,0,0,0,254,255,188,40,40,188,728,336,188,1,0,0,5824000,2688000,16,2,0,0,0,16383,16383,48128,188,0,0,0,0,1,DoS
59.166.0.5,44265,149.171.126.1,46893,6,0,424,8,8824,12,27,19,27,0,0,0,31,32,1500,52,52,1500,424,8824,0,0,4252,3,3392000,70592000,14,0,0,0,6,10136,5792,0,0,0,0,0,0,0,Benign
59.166.0.9,8980,149.171.126.8,42754,6,0,3806,64,54798,66,27,27,27,0,0,0,31,32,1352,52,52,1352,3806,54798,547,6,26979,25,30448000,438384000,90,0,0,0,40,41992,14480,8960,35,0,0,0,0,0,Benign
59.166.0.0,34505,149.171.126.3,39933,6,0,3806,64,54798,66,27,27,27,0,0,0,31,32,1352,52,52,1352,3806,54798,547,6,26979,25,30448000,438384000,90,0,0,0,40,41992,14480,8960,35,0,0,0,0,0,Benign
59.166.0.2,12576,149.171.126.4,17377,6,0,3806,64,54798,66,27,27,27,0,0,0,31,32,1352,52,52,1352,3806,54798,547,6,26979,25,30448000,438384000,90,0,0,0,40,41992,14480,8960,35,0,0,0,0,0,Benign
